rank,venue,publications
1672,"Annals of the Romanian Society for Cell Biology 25 (2), 923-930, 2021",1
1673,Annals of Mathematics and Computer Science,1
1674,Annales de Chimie Science des Matériaux,1
1675,Ancient Science of Life,1
1676,American Journal of Mechanical and Materials Engineering,1
1677,American Journal of Mathematics,1
1678,"American Journal of Agricultural Science 6 (3), 33-39, 2019",1
1679,"Ain Shams Engineering Journal, 12, 1025-1032",1
1680,"Ain Shams Engineering Journal, 11(4), 1255-1263, 2020",1
1681,"Ain Shams Engineering Journal (Elsevier), 14, 101811",1
1682,African journal of Biological sciences 6(10)(,1
1683,Advances in polymer science,1
1684,"Advances in Science, Technology and Innovation",1
1685,"Advances in Science, Technology and Engineering Systems Journal",1
1686,Advances in Dynamical Systems and Applications (ADSA) (Scopus indexed Journal) ISSN,1
1687,Advances in Bamboo Science,1
1688,"Advanced Engineering Science, Volume - 57, Issue – 08,",1
1689,"Advanced Applications of Fractional Differential Operators to Science and …, 2020",1
1690,Additive Manufacturing Letters,1
1691,Acta Scientific Pharmaceutical Sciences,1
1692,2025 International Conference on Recent Innovation in Science Engineering and Technology (ICRISET),1
1693,2025 International Conference on Advances in Next-Gen Computer Science (ICANCS),1
1694,"Annals of the Romanian Society for Cell Biology 25 (6), 1156-1171, 2021",1
1695,".International Journal of Scientific Engineering and Research (IJSER), ISSN (Online):",1
1696,"2021 11th International Conference on Cloud Computing, Data Science &amp; Engineering (Confluence)",1
1697,2020 IEEE-EMBS Conference on Biomedical Engineering and Sciences (IECBES),1
1698,"2020 IEEE International Students' Conference on Electrical,Electronics and Computer Science (SCEECS)",1
1699,2020 Fourth International Conference On Intelligent Computing in Data Sciences (ICDS),1
1700,2020 Advances in Science and Engineering Technology International Conferences (ASET),1
1701,2020 15th International Conference for Internet Technology and Secured Transactions (ICITST),1
1702,"2019 International Conference on Data Science and Communication (IconDSC), Christ University. March",1
1703,2019 International Conference on Data Science and Communication (IconDSC),1
1704,2019 Advances in Science and Engineering Technology International Conferences (ASET),1
1705,"2019 9th International Conference on Cloud Computing, Data Science &amp; Engineering (Confluence)",1
1706,13th National Women’s Science Congress,1
1707,. Advanced Engineering Science 55. (,1
1708,2025 International Conference on Advanced Machine Learning and Data Science (AMLDS),1
1709,"-Journal of Emerging Technologies and Innovative Research,Volume 11",1
1710,"-International Journal of Innovative Research in Electrical, Electronics, Instrumentation and Control Engineering, Vol 12, Issue 7, July",1
1711,"- International Journal of Polymer Analysis and Characterization (Volume 25,",1
1712,"- International Journal of Innovative Research in Electrical, Electronics, Instrumentation and Control Engineering, Vol. 12, Issue 5, May",1
1713,"- -International Journal of Innovative Research in Electrical, Electronics, Instrumentation and Control Engineering, Vol 12, Issue 7, July",1
1714,", published by Taylor & Francis in the Fullerenes, Nanotubes and Carbon Nanostructures Journal (Web-of-Science) on 6th March",1
1715,", Journal of Emerging Technologies and Innovative Research (JETIR) , www.jetir.org , ©",1
1716,", International conference on Neuroscience to be held on Nov 17-20",1
1717,", International Journal of Creative Research Thoughts (IJCRT) www.ijcrt.org, ©",1
1718,", Gradiva Review Journal, Volume 9, Issue 10, October",1
1719,"(IJACSA) International Journal of Advanced Computer Science and Applications,Vol. 13, No. 3,",1
1720,2021 Fifth International Conference On Intelligent Computing in Data Sciences (ICDS),1
1721,2021 IEEE Asia-Pacific Conference on Computer Science and Data Engineering (CSDE),1
1722,2021 IEEE International India Geoscience and Remote Sensing Symposium (InGARSS),1
1723,"2022 11th International Conference on Control, Automation and Information Sciences (ICCAIS)",1
1724,2025 8th International Conference on Data Science and Information Technology (DSIT),1
1725,2025 66th International Scientific Conference on Information Technology and Management Science of Riga Technical University (ITMS),1
1726,"2025 11th International Conference on Engineering, Applied Sciences, and Technology (ICEAST)",1
1727,2024 International Conference on Smart Systems for applications in Electrical Sciences (ICSSES),1
1728,2024 International Conference on Science Technology Engineering and Management (ICSTEM),1
1729,2024 International Conference on Emerging Technologies in Computer Science for Interdisciplinary Applications (ICETCS),1
1730,"2024 IEEE International Students' Conference on Electrical, Electronics and Computer Science (SCEECS)",1
1731,"2024 IEEE 2nd International Conference on Emerging Trends in Engineering and Medical Sciences, ICETEMS 2024",1
1732,2023 International Conference on Recent Advances in Science and Engineering Technology (ICRASET) 23-24 November,1
1733,"2023 International Conference on Computer Science and Emerging Technologies, CSET 2023",1
1734,"2023 IEEE/ACIS 8th International Conference on Big Data, Cloud Computing, and Data Science (BCD)",1
1735,"2023 IEEE Asia-Pacific Conference on Geoscience, Electronics and Remote Sensing Technology (AGERS)",1
1736,"2022/2/24 Journal Fundamentals and Methods of Machine and Deep Learning: Algorithms, Tools and Applications, 101-119, John Wiley & Sons, Inc.",1
1737,"2022 International Interdisciplinary Conference on Mathematics, Engineering and Science (MESIICON)",1
1738,2022 International Conference on Innovations in Science and Technology for Sustainable Development (ICISTSD),1
1739,"2022 International Conference on Data Science, Agents &amp; Artificial Intelligence (ICDSAAI)",1
1740,2022 International Conference of Science and Information Technology in Smart Administration (ICSINTESA),1
1741,2022 IEEE International Conference on Data Science and Information System (ICDSIS),1
1742,2022 IEEE 13th International Conference on Software Engineering and Service Science (ICSESS),1
1743,2022 Fifth International Conference of Women in Data Science at Prince Sultan University (WiDS PSU),1
1744,2022 Advances in Science and Engineering Technology International Conferences (ASET),1
1745,2022 3rd URSI Atlantic and Asia Pacific Radio Science Meeting (AT-AP-RASC),1
1746,"2022 2nd International Conference on Computer Science, Engineering and Applications, ICCSEA 2022",1
1747,"Annals of the Romanian Society for Cell Biology 25 (5), 5769-5778, 2021",1
1748,"Annals of the Romanian Society for Cell Biology 25 (6), 1192-1205, 2021",1
1749,Electronic Journal of Structural Engineering,1
1750,Computer Science &amp; Technology Trends,1
1751,"Critical Reviews™ in Biomedical Engineering 49 (3), 2021",1
1752,"Critical ReviewsTM in Biomedical Engineering, 48(1), 17 – 28, 2020",1
1753,"Critical Reviews in Biomedical Engineering, ;51(3):1-19",1
1754,Critical Reviews in Biomedical Engineering,1
1755,Critical Reviews in Analytical Chemistry,1
1756,Contributions to environmental sciences & innovative business technology,1
1757,Contributions to Management Science,1
1758,Computers and Electrical Engineering Journal,1
1759,Computers & Geosciences,1
1760,Computer Science and Information Technologies,1
1761,"Computer Science 24(4), AGH University",1
1762,Computer Journal,1
1763,Cellulose,1
1764,Computational and Structural Biotechnology Journal,1
1765,Computational Science and Its Applications,1
1766,"Computational Intelligence and Neuroscience , Volume Sep",1
1767,Composites Mechanics Computations Applications An International Journal,1
1768,Colloid & Polymer Science,1
1769,Cognitive science and technology,1
1770,"Chinese Journal of Physics, Vol.81",1
1771,"Chinese Journal of Medical Genetics, Vol. 31 No. 3 (",1
1772,"Chemical Physics Letters, Volume 779,",1
1773,"Chemical Physics Letters, 784, 139096",1
1774,Chemical Engineering Journal Advances,1
1775,"Current Chemistry Letters, 11,",1
1776,Current Nanoscience,1
1777,Current Opinion in Insect Science,1
1778,Data Engineering and Data Science,1
1779,"Educational research and reviews, Academic Journals, Kenya",1
1780,Economics Letters,1
1781,Earth and Planetary Science Letters,1
1782,EURASIP Journal on Wireless Communications and Networking,1
1783,EURASIP Journal on Advances in Signal Processing,1
1784,ETRI Journal WILEY,1
1785,EMITTER International Journal of Engineering Technology,1
1786,ELCVIA Electronic Letters on Computer Vision and Image Analysis,1
1787,EJPPS EUROPEAN JOURNAL OF PARENTERAL AND PHARMACEUTICAL SCIENCES,1
1788,"ECS Transactions, 107 (1) 10623- 10630, 2022",1
1789,"EAI Endorsed Transactions on Internet of Things 7 (27), 1, 2022",1
1790,"EAI Endorsed Transactions on Internet of Things 10, 2024",1
1791,EAI Endorsed Transactions on Creative Technologies,1
1792,EAI Endorsed Transactions on Context-aware Systems and Applications,1
1793,EAI Endorsed Transactions on Cloud Systems,1
1794,EAI Endorsed Transactions on AI and Robotics,1
1795,"Distributed Generation & Alternative Energy Journal, Vol. 37_3, 793–818,",1
1796,"Distributed Generation & Alternative Energy Journal, Vol 39, Iss 1, pp 1-26, doi: 10.",1
1797,Discover Applied Sciences,1
1798,Digest Journal of Nanomaterials and Biostructures,1
1799,"Digest Journal of Nanomaterials & Biostructures (DJNB) 16 (1), 2021",1
1800,Diabetes and Metabolic Syndrome: Clinical Research and Reviews,1
1801,"Data Science for COVID-19, 433-448, 2022",1
1802,Central University of Kashmir Law Review,1
1803,Cell Systems,1
1804,"Annals of the Romanian Society for Cell Biology 25 (6), 1206-1216, 2021",1
1805,Applied Nanoscience (Switzerland),1
1806,Asia-Pacific Journal of Molecular Biology and Biotechnology,1
1807,Asia-Pacific Journal of Chemical Engineering,1
1808,Archives of Materials Science and Engineering,1
1809,"Arabian Journal of Geosciences 15 (10), 936, 2022",1
1810,Arabian Journal of Geosciences,1
1811,Arabian Journal for Science and Engineering (Springer),1
1812,Arab Journal of Basic and Applied Sciences,1
1813,Applied Water Science,1
1814,"Applied Surface Science Advances 2023, 13, 100375.",1
1815,"Applied Sciences, 24/11, 11609",1
1816,"Applied Nanoscience, DOI: 10.1007/s13204-021-02217-4",1
1817,Applied Mechanics Reviews,1
1818,Catalysis Science & Technology,1
1819,"Antrocom: Online Journal of Anthropology 17 (2), 2021",1
1820,Annual Review of Fluid Mechanics,1
1821,"Annals of the Romanian society for cell biology 25 (2), 904-912, 2021",1
1822,"Annals of the Romanian Society for Cell Biology 25 (6), 7422-7430, 2021",1
1823,"Annals of the Romanian Society for Cell Biology 25 (6), 693-703, 2021",1
1824,"Annals of the Romanian Society for Cell Biology 25 (6), 682-692, 2021",1
1825,"Annals of the Romanian Society for Cell Biology 25 (6), 6443-6450, 2021",1
1826,"Annals of the Romanian Society for Cell Biology 25 (6), 591-600, 2021",1
1827,"Annals of the Romanian Society for Cell Biology 25 (6), 1249-1262, 2021",1
1828,"Annals of the Romanian Society for Cell Biology 25 (6), 1229-1242, 2021",1
1829,"Annals of the Romanian Society for Cell Biology 25 (6), 1217-1228, 2021",1
1830,Asian Academy of Management Journal,1
1831,"Asian Journal of Advanced Research and Reports, pp 22-33, August",1
1832,Asian Journal of Atmospheric Environment,1
1833,Asian Journal of Control,1
1834,Canadian Journal of Civil Engineering,1
1835,CFD Letters,1
1836,CEAS Aeronautical Journal,1
1837,C – Journal of Carbon Research,1
1838,Bulletin of the Transilvania University of Brasov. Series III: Mathematics and Computer Science,1
1839,"Bulletin For Technology And History Journal, Volume 24, Issue 1, 2024 Issn No : 0391-6715 Page No:408-421",1
1840,"Bulletin For Technology And History Journal,",1
1841,Brazilian Journal of Chemical Engineering,1
1842,Biophysical Reviews,1
1843,Biogeosciences,1
1844,Bilad Alrafidain Journal of Humanities and Social Science,1
1845,Beilstein Journal of Organic Chemistry,1
1846,"Bangladesh Journal of Agricultural Research 45 (1), 93-97, 2020",1
1847,"Bangladesh Agronomy Journal 25 (1), 37-45, 2022",1
1848,"Bangladesh Agronomy Journal 24 (2), 115-125, 2021",1
1849,BOHR International Journal of Engineering,1
1850,BOHR International Journal of Civil Engineering and Environmental Science,1
1851,Available at International Journal of Scientific Research in Engineering and Management (IJSREM) ISSN:,1
1852,"Australian Journal of Wireless Technologies, Mobility and Security",1
1853,Asian-European Journal of Mathematics,1
1854,"Asian Research Journal of Agriculture 15 (4), 190-202, 2022",1
1855,Asian Journal of Engineering and Applied Technology,1
1856,Asian Journal of Electrical Sciences,1
1857,"International Journal of Advanced Science and Technology Vol. 29, No. 08, (",1
1858,"International Journal of Advanced Science and Technology, Vol 29, No. 6s, 2020, ISSN: 2005-4238, pp: 4046-4072,",1
1859,Journal of Electrical Engineering and Technology,1
1860,International Journal of Software Engineering and Knowledge Engineering,1
1861,International Journal of Turbo and Jet Engines,1
1862,International Journal of Trend in Scientific Research and Development,1
1863,International Journal of Thermofluids,1
1864,International Journal of System of Systems Engineering,1
1865,"International Journal of System Dynamics Applications (IJSDA), 10(4),",1
1866,International Journal of System Assurance Engineering and Management,1
1867,"International Journal of Sustainable Engineering 14 (5), 1033-1042, 2021",1
1868,International Journal of Sustainable Energy,1
1869,International Journal of Surface Engineering and Interdisciplinary Materials Science,1
1870,International Journal of Spray and Combustion Dynamics,1
1871,International Journal of Software Science and Computational Intelligence,1
1872,International Journal of Soft Computing and Engineering,1
1873,"(IJACSA) International Journal of Advanced Computer Science and Applications, Vol. 12, No. 10,",1
1874,International Journal of Social Relevance & Concern,1
1875,International Journal of Social Ecology and Sustainable Development (IJSESD),1
1876,International Journal of Social Computing and Cyber-Physical Systems,1
1877,"International Journal of Smart Vehicles and Smart Transportation (IJSVST) 3 …, 2020",1
1878,International Journal of Sensors Wireless Communications and Control,1
1879,International Journal of Semantic Computing,1
1880,"International Journal of Scientific and Research Publications, Volume 9, Issue 9, September",1
1881,"International Journal of Scientific Research in Science, Engineering and Technology",1
1882,"International Journal of Scientific Research in Engineering and Management (IJSREM),Volume: 07 Issue: 07 ,July -",1
1883,"International Journal of Scientific Research in Engineering and Management (IJSREM),ISSN:",1
1884,"International Journal of Scientific Research in Engineering and Management (IJSREM), Volume: 07 Issue: 07",1
1885,"International Journal of Uncertainty, Fuzziness and Knowldege-Based Systems",1
1886,International Journal of Vehicle Performance,1
1887,"International Journal of Virtual and Augmented Reality (IJVAR) 6 (1), 1-14, 2022",1
1888,International Journal of Wavelets Multiresolution and Information Processing,1
1889,"International journal of Advanced research, 8(6), 308-321",1
1890,"International conference on Paradigms of communication, computing and data sciences (PCCDS",1
1891,International Transactions on Electrical Engineering and Computer Science,1
1892,International Reviews in Physical Chemistry,1
1893,International Review of Mechanical Engineering (IREME),1
1894,International Review of Electrical Engineering,1
1895,International Review of Automatic Control,1
1896,"International Research journal of Engineering and Technology ( IRJET) , Volume: 09 Issue :09, Sep",1
1897,"International Research Journal of engineering and Technology, Vol. 7, Issue 5, May",1
1898,International Research Journal of Multidisciplinary Technovation,1
1899,"International Research Journal of Modernization in Engineering Technology and Science,Impact Factor- 5.354 ,e-ISSN:",1
1900,International Research Journal of Modernization in Engineering Technology &amp; Science,1
1901,"International Research Journal of Engineering and Technology, vol. 7, Issue 5, May",1
1902,"International Research Journal of Engineering and Technology (IRJET),",1
1903,International Research Journal of Engineering and Technology (IRJET) e-ISSN:,1
1904,International Research Journal of Engineering and Technology,1
1905,"International Journal on Recent and Innovation Trends in Computing and Communication, 11(6), 379-390.",1
1906,"International Journal on Interactive Design and Manufacturing, 18-Jan",1
1907,"International Journal of thermofluid Science and Technology, 3-Oct,",1
1908,"International Journal of new innovations in engineering and technology, Volume 12, Issue 3, Pages 54-60, December",1
1909,"International Journal of Zeichen,Vol.7, Issue 8, ISSN No.",1
1910,International Journal of Web-Based Learning and Teaching Technologies,1
1911,International Journal of Web Portals,1
1912,International Journal of Scientific Research in Engineering and Management (IJSREM) Volume: 07 Issue: 07,1
1913,"International Journal of Scientific Research & Engineering Trends Volume 10, Issue 4, July-Aug-",1
1914,"International journal of ambient energy, 43(1), 7229-7236",1
1915,International Journal of PharmTech Research,1
1916,International Journal of Prognostics and Health Management,1
1917,International Journal of Production Research,1
1918,International Journal of Product Lifecycle Management,1
1919,International Journal of Pressure Vessels and Piping,1
1920,International Journal of Precision Engineering and Manufacturing,1
1921,International Journal of Powertrains,1
1922,International Journal of Polymer Science,1
1923,"International Journal of Polymer Analysis and Characterization, 29 (3), 157-171, 2024",1
1924,International Journal of Photoenergy,1
1925,International Journal of Pharmaceutics,1
1926,International Journal of Pharmaceutical Sciences and Nanotechnology(IJPSN),1
1927,International Journal of Performability Engineering,1
1928,"International Journal of Scientific Engineering and Applied Science, Volume-8, Issue-9,",1
1929,International Journal of Pavement Engineering,1
1930,International Journal of Pattern Recognition and Artificial Intelligence,1
1931,International Journal of Parallel Programming,1
1932,International Journal of Organizational and Collective Intelligence,1
1933,International Journal of Operational Research,1
1934,"International Journal of Numerical Methods for Heat & Fluid Flow (Emerald), 32(5), 1643-1663",1
1935,"International Journal of Numerical Methods for Heat & Fluid Flow (Emerald), 32(10), 3388-3410",1
1936,International Journal of Novel Research and Development (IJNRD) Volume 8 issue 1 ISSN-,1
1937,International Journal of Non-Linear Mechanics 171:,1
1938,International Journal of Non-Linear Mechanics 167:,1
1939,International Journal of Non-Linear Mechanics 165:,1
1940,International Journal of Project Management and Productivity Assessment,1
1941,"International Journal of Psychosocial Rehabilitation 23 (1), 2019",1
1942,International Journal of Quantum Chemistry,1
1943,"International Journal of RF and Microwave Computer Aided Engineering, vol. 30, no. 5, p.",1
1944,"International Journal of Scientific & Technology Research 8 (9), 1789, 2019",1
1945,"International Journal of Scientific & Engineering Research, Volume 12, Issue 6, June-",1
1946,"International Journal of Scientific & Engineering Research Volume 12, Issue 6, June-",1
1947,"International Journal of Science, Engineering and Technology ,",1
1948,"International Journal of Science and Research (IJSR), Volume 10 Issue 7, July",1
1949,"International Journal of Science and Research (IJSR), , Volume 11 Issue 7, July",1
1950,"International Journal of Safety and Security Engineering, Vol. 15, No. 8, August,",1
1951,International Journal of Safety and Security Engineering,1
1952,International Journal of Research in Science and Technology,1
1953,International Journal of Research in Library Science,1
1954,"International Journal of Research in Business and Social Science 10 (8), 228-235, 2021",1
1955,International Journal of Research in Advent Technology,1
1956,"International Journal of Research and Scientific Innovation (IJRSI), Vol.6, Issue 7,11-15, ISSN",1
1957,International Journal of Research and Scientific Innovation,1
1958,"International Journal of Research Publication and Reviews, Vol 5, no 1, pp",1
1959,International Journal of Research Publication and Reviews,1
1960,International Journal of Renewable Energy Research,1
1961,International Journal of Refrigeration,1
1962,International Journal of Reconfigurable and Embedded Systems,1
1963,International Journal of Recent Technology and Engineering(IJRTE),1
1964,"International Journal of Recent Technology and Engineering (IJRTE), Volume-8 Issue-6,",1
1965,"International Journal of Recent Technology and Engineering (IJRTE) 8 (2), 53-57, 2019",1
1966,"International Journal of RF and Microwave Computer-Aided Engineering: vol. 32, no. 11 (",1
1967,International journal of Intelligent systems and applications in engineering,1
1968,"International journal of engineering and advanced technology 9 (2), 4429-4438, 2019",1
1969,International Journal of Nanoscience,1
1970,Journal of Cluster Science,1
1971,Journal of Computer Science and Technology Studies,1
1972,Journal of Computer Languages,1
1973,"Journal of Computational and Theoretical Nanoscience, February",1
1974,"Journal of Computational and Theoretical Nanoscience, 17, 4354–4359, 2020",1
1975,"Journal of Computational and Theoretical Nanoscience, 17, 1–4, 2020",1
1976,Journal of Computational Design and Engineering,1
1977,Journal of Complexity,1
1978,Journal of Complex Networks,1
1979,Journal of Communications and Information Networks,1
1980,Journal of Combinatorial Optimization,1
1981,Journal of Coatings Technology and Research,1
1982,Journal of Cloud Computing,1
1983,Journal of Basic Microbiology,1
1984,Journal of Civil and Construction Engineering,1
1985,Journal of Choice Modelling,1
1986,"Journal of Chengdu University of Technology (Science and Technology Edition), Volume 26, Issue 09, September",1
1987,"Journal of Chemical Sciences, 133 (4), 1-8,",1
1988,Journal of Cellular Plastics,1
1989,"Journal of Carcinogenesis,Vol.24,No.4,ISSN:",1
1990,Journal of Biotechnology,1
1991,Journal of Biosciences,1
1992,Journal of Biomedical and Pharmaceutical Research,1
1993,Journal of Biomedical Photonics and Engineering,1
1994,Journal of Biomedical Materials Research Part B Applied Biomaterials,1
1995,"Journal of Computer Science, 18(12), pp. 1144–1158 https://doi.org/10.3844/jcssp.2022.1144.1158",1
1996,"Journal of Computer Science, Volume 21 No. 6,",1
1997,"Journal of Computer Science, vol. 21, no. 8,",1
1998,Journal of Computer Security,1
1999,Journal of Electrical Engineering and Automation,1
2000,Journal of Electrical Engineering &amp; Technology,1
2001,Journal of Economic and Administrative Sciences,1
2002,Journal of Economic Cooperation and Development,1
2003,Journal of Earthquake and Tsunami,1
2004,"Journal of Dynamic Systems, Measurement, and Control",1
2005,Journal of Drug Delivery and Therapeutics,1
2006,Journal of Discrete Mathematical Sciences and Cryptography,1
2007,Journal of Differential Geometry,1
2008,Journal of Differential Equations,1
2009,Journal of Diabetes Science and Technology,1
2010,Journal of Cultural Economy,1
2011,"Journal of Critical Reviews 7 (5), 1389-1394, 2020",1
2012,"Journal of Critical Reviews 7 (5), 1361-1367, 2020",1
2013,"Journal of Critical Reviews 7 (19), 4748-4757, 2020",1
2014,"Journal of Coordination Chemistry, 1-13,",1
2015,"Journal of Control Engineering and Applied Informatics 23 (1), 50-59, 2021",1
2016,Journal of Control Automation and Electrical Systems,1
2017,"Journal of Contemporary Issues in Business and Government Vol 27 (3), 2021",1
2018,"Journal of Contemporary Issues in Business & Government 27 (3), 2021",1
2019,Journal of Construction Research,1
2020,Journal of Computing and Information Technology,1
2021,Journal of Computing Science and Engineering,1
2022,Journal of Bio-X Research,1
2023,Journal of Basic & Applied Sciences,1
2024,International journal of mechanical and production engineering research and development,1
2025,"JOURNAL OF FUNCTIONAL AND ENVIRONMENTAL BOTANY Учредители: Diva Enterprises …, 2020",1
2026,Journal of Advances in Modeling Earth Systems,1
2027,"Journal of Advances in Information Technology, 14, 1103-1116.",1
2028,Journal of Advanced Scientific Research,1
2029,"Journal of Advanced Research in Dynamical and Control Systems (JARDCS), ISSN: 1943-023X, Vol 12, 07-Special Issue, 2020,",1
2030,Journal of Advanced Dielectrics,1
2031,"Journal Of Mechanics Of Continua And Mathematical Sciences (JMCMS) 14 (4 …, 2019",1
2032,Journal Of Advanced Zoology,1
2033,"Journal International Journal of Science and Innovative Engineering & Technology (IJSIET), Volume 7 May issue",1
2034,Journal Electrical and Computer Experiences,1
2035,Journal Club for Condensed Matter Physics,1
2036,"Jilin Daxue Xuebao (Gongxueban)/Journal of Jilin University (Engineering and Technology Edition), ISSN:",1
2037,JOURNAL OF CHEMICAL ENGINEERING OF JAPAN,1
2038,Journal of Automated Reasoning,1
2039,JNNCE Journal of Engineering and Management,1
2040,Iranian Polymer Journal,1
2041,"Iranian Journal of Science and Technology, Transaction A: Science",1
2042,Iranian Journal of Science and Technology Transactions of Electrical Engineering,1
2043,Iranian Journal of Science and Technology Transactions A Science,1
2044,Iranian Journal of Science and Technology - Transactions of Civil Engineering,1
2045,Iranian Journal of Science,1
2046,Iranian Journal of Chemistry and Chemical Engineering,1
2047,Involve a Journal of Mathematics,1
2048,International series in management science/operations research/International series in operations research & management science,1
2049,"International journal of phytoremediation 25 (2), 187-206, 2023",1
2050,Journal of Advances in Nanotechnology,1
2051,Journal of Aerosol Science,1
2052,"Journal of AgriSearch 6 (2), 83-86, 2019",1
2053,"Journal of Agronomy and Crop Science 208 (5), 645-661, 2022",1
2054,Journal of Astronomical History and Heritage,1
2055,Journal of Asian Architecture and Building Engineering,1
2056,Journal of Approximation Theory,1
2057,"Journal of Applied and Computational Mechanics, Volume 1, 1-14, 2021",1
2058,"Journal of Applied and Computational Mechanics, 876-890",1
2059,Journal of Applied and Computational Mechanics (Accepted),1
2060,Journal of Applied Security Research,1
2061,Journal of Applied Science and Engineering,1
2062,Journal of Applied Membrane Science & Technology,1
2063,"Journal of Applied Mathematics and mechanics, ZAMM, 15214001,0,",1
2064,"Journal of Applied Mathematics and Mechanics, 102",1
2065,Journal of Applied Mathematics and Mechanics (Accepted),1
2066,Journal of Applied Geophysics,1
2067,Journal of Applied Engineering and Technological Science (JAETS),1
2068,"Journal of Annals of Forest Research, Volume no. 65, issue- 1,",1
2069,Journal of Analytical and Applied Pyrolysis,1
2070,Journal of Analytical Chemistry,1
2071,Journal of Analytical Atomic Spectrometry,1
2072,"Journal of Alloys and Compounds. 938, 68600, 2023.",1
2073,Journal of Algebraic Geometry,1
2074,Journal of Algebra and Its Applications,1
2075,Journal of Aircraft,1
2076,Journal of Air Transport Management,1
2077,International Journal of Networking and Virtual Organizations,1
2078,International Journal of Nanomedicine,1
2079,"International Journal of Advanced Science and Technology, Vol. 29, No. 05, Apr. 2020, 655 - 670.",1
2080,International Journal of Computer Theory and Engineering,1
2081,International Journal of Control,1
2082,International Journal of Construction Management,1
2083,"International Journal of Computing, VOLUME 21(3) DOI:10.47839/ijc.21.3.2689",1
2084,International Journal of Computing and Network Technology,1
2085,"International Journal of Computing and Digital Systems,",1
2086,"International Journal of Computers, Communications and Control",1
2087,"International Journal of Computers and Applications, https://doi.org/10.1080/1206212X.2019.1693000",1
2088,"International Journal of Computers Communications & Control, Online ISSN",1
2089,International Journal of Computer and Communication Technology,1
2090,International Journal of Computer Vision and Image Processing,1
2091,International Journal of Computer Vision,1
2092,"International Journal of Computer Sciences and Engineering, Vol.-7, Issue-9, Sept",1
2093,"International Journal of Computer 281 Sciences and Engineering 7 (5), 1672-1676, 2019",1
2094,International Journal of Computer Sciences and Engineering Open Access,1
2095,International Journal of Computer Sciences and Engineering,1
2096,International Journal of Computer Science and Information Technology,1
2097,"International Journal of Computer Science and Information Security (IJCSIS …, 2019",1
2098,International Journal of Computer Science and Engineering,1
2099,International Journal of Computer Network and Information Security (IJCNIS),1
2100,International Journal of Computer Network and Information Security,1
2101,International Journal of Computer Mathematics,1
2102,International Journal of Computer Integrated Manufacturing,1
2103,International Journal of Computer Communication and Informatics,1
2104,"International Journal of Computer Applications, Vol. 176, Issue No. 38,",1
2105,International Journal of Control Automation and Systems,1
2106,International Journal of Crashworthiness,1
2107,"International Journal of Creative Research Thoughts (IJCRT), ISSN:",1
2108,"International Journal of Creative Research Thoughts (IJCRT), Volume 13, Issue 3 March",1
2109,International Journal of Emerging Trends in Engineering Research,1
2110,International Journal of Emerging Trends in Computer Science and Information Technology,1
2111,"International Journal of Emerging Technologies in Learning, Vol. 17 Issue 18",1
2112,International Journal of Emerging Engineering and Technology,1
2113,"International Journal of Electronics, vol. 106, no. 2,",1
2114,"International Journal of Electronics, Communications, and Measurement …, 2021",1
2115,"International Journal of Electronics, Communications, and Measurement Engineering",1
2116,International Journal of Electronics Letters,1
2117,International Journal of Electronic Finance,1
2118,"International Journal of Electrical, Electronics and Data Communication, ISSN(p):",1
2119,International Journal of Electrical and Computer Engineering Systems,1
2120,"International Journal of Electrical and Computer Engineering (IJECE), vol. 15, no. 3,",1
2121,"International Journal of Electrical and Computer Engineering (IJECE), [S.l.], v. 13, n. 1, p. 987-996, feb.",1
2122,"International Journal of Electrical and Computer Engineering (IJECE) 10 (5 …, 2020",1
2123,International Journal of Economics and Management,1
2124,"International Journal of Economics & Management 15 (2), 2021",1
2125,International Journal of Distributed Systems and Technologies,1
2126,International Journal of Digital Crime and Forensics,1
2127,"International Journal of Design Engineering Issue 08, pp:",1
2128,International Journal of Current Research and Review,1
2129,"International Journal of Creative Research Thoughts, vol 9, issue 5, pp f634-f645,",1
2130,"International Journal of Creative Research Thoughts, Volume 13 Issue 6 June",1
2131,"International Journal of Creative Research Thoughts, Volume 10,Issue 6 June",1
2132,International Journal of Computer Aided Engineering and Technology,1
2133,International Journal of Computational and Experimental Science and Engineering,1
2134,"International Journal of Engg and Management- Multidiciplinary journal of VTU, Jan",1
2135,International Journal of Applied Mathematics and Theoretical Physics,1
2136,International Journal of Bifurcation and Chaos,1
2137,International Journal of Automotive and Mechanical Engineering,1
2138,International Journal of Automation and Smart Technology,1
2139,International Journal of Automation and Computing,1
2140,International Journal of Astrobiology,1
2141,"International Journal of Applied and Computational Mathematics, Volume 7, Issue 148, 1-15, 2021",1
2142,"International Journal of Applied and Computational Mathematics, Volume 7, 1-22, 2021",1
2143,"International Journal of Applied and Computational Mathematics, 6(27), 1-14, 2020",1
2144,International Journal of Applied Power Engineering (IJAPE),1
2145,International Journal of Applied Metaheuristic Computing,1
2146,International Journal of Applied Mechanics,1
2147,"International Journal of Applied Engineering Research,Vol. 14, Number 9, pp. 2126-2133, 2019.",1
2148,International Journal of Computational Vision and Robotics,1
2149,International Journal of Applied Cryptography,1
2150,International Journal of Antennas and Propagation,1
2151,"International Journal of Ambient Energy, 43/1, 7101-7114",1
2152,"International Journal of Ambient Energy, 1814-1828",1
